trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
474,False,"{'a': 0.6, 'e': 6.93681126110751e-05}",30,0,45.904439348968715,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
475,False,"{'a': 0.6, 'e': 6.79807503588536e-05}",30,15,31.85801458847965,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
476,False,"{'a': 0.6, 'e': 6.662113535167652e-05}",20,4,28.162753221497923,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
477,False,"{'a': 0.6, 'e': 6.528871264464299e-05}",20,8,16.919195524457894,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
478,False,"{'a': 0.6, 'e': 6.398293839175013e-05}",20,0,30.70812143386609,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
479,False,"{'a': 0.6, 'e': 6.270327962391513e-05}",30,16,23.080388677395582,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
480,False,"{'a': 0.6, 'e': 6.144921403143682e-05}",25,14,20.33104367944639,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
481,False,"{'a': 0.6, 'e': 6.022022975080809e-05}",20,0,34.130684357677154,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
482,False,"{'a': 0.6, 'e': 5.9015825155791924e-05}",20,0,26.871889204881157,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
483,False,"{'a': 0.6, 'e': 5.783550865267609e-05}",25,9,32.54999475082958,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
484,False,"{'a': 0.6, 'e': 5.6678798479622565e-05}",20,10,20.34844173675768,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
485,False,"{'a': 0.6, 'e': 5.554522251003011e-05}",25,11,21.931644595855676,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
486,False,"{'a': 0.6, 'e': 5.4434318059829506e-05}",20,12,15.971102004201494,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
487,False,"{'a': 0.6, 'e': 5.3345631698632915e-05}",25,15,16.261257664958904,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
